test_sequences,ground_truth
 وقال شيخنا بدر الدين بن قاضي شهبة في الكواكب الدرية في السيرة النورية في سنة ثلاث وأربعين, وقال شيخنا بدر الدين بن قاضي شهبة في الكواكب الدرية في السيرة النورية في سنة ثلاث وأربعين
 قال أنا جرير عن منصور عن إبراهيم قال كان علقمة يختم القرآن في خمس & باب سيرة الأسود بن يزيد رضي الله, قال أنا جرير عن منصور عن إبراهيم قال كان علقمة يختم القرآن في خمس & باب سيرة الأسود بن يزيد رضي الله
 قال القشيري ويقال وشددنا ملكه بالعدل في القضية وحسن السيرة في الرعية أو بدعاء المستضعفين, قال القشيري ويقال وشددنا ملكه بالعدل في القضية وحسن السيرة في الرعية أو بدعاء المستضعفين
 قال بن شداد صاحب السيره فراوا نواب التتار الثياب فاخدوها, قال بن شداد صاحب السيره فراوا نواب التتار الثياب فاخدوها
 قال إن أباها أقام سنة في الملك بعيد لأن له سيرة مذكورة وغزوات وأقام مدة ذكره, قال إن أباها أقام سنة في الملك بعيد لأن له سيرة مذكورة وغزوات وأقام مدة ذكره
 قال وولي القضاء غير مرة بعد الفتنة ولم يكن محمود السيرة وكان يتجر بالكتب ويعرف أسماءها, قال وولي القضاء غير مرة بعد الفتنة ولم يكن محمود السيرة وكان يتجر بالكتب ويعرف أسماءها
 قال الشيخ المفيد في الارشاد روى الكلبي والمدائني وغيرهما من أصحاب السيرة قالوا لما مات الحسن عليه, قال الشيخ المفيد في الارشاد روى الكلبي والمدائني وغيرهما من أصحاب السيرة قالوا لما مات الحسن عليه
 وذكر نسبه وتاريخه في التحف الفاطمية في سيرة الإمام عيسى بن زيد ع, وذكر نسبه وتاريخه في التحف الفاطمية في سيرة الإمام عيسى بن زيد ع
 قال صاحب الكشاف السيرة من السير كالركبة من الركوب يقال سار فلان سيرة حسنة ثم اتسع فيها فنقلت, قال صاحب الكشاف السيرة من السير كالركبة من الركوب يقال سار فلان سيرة حسنة ثم اتسع فيها فنقلت
 قال ابن واصل في سيرة الصالح وكان مهيبا عزيز النفس, قال ابن واصل في سيرة الصالح وكان مهيبا عزيز النفس
 وقال ما سيرة داود فقال نعمت السيرة لولا خصلة فيه قال وما, وقال ما سيرة داود فقال نعمت السيرة لولا خصلة فيه قال وما
 قال ابن زولاق في كتاب سيرة المعز لدين الله أبي تميم, قال ابن زولاق في كتاب سيرة المعز لدين الله أبي تميم
 قال لا يجيب ولا كراهة يأخذ كفا من تراب يضرب به وجهه سيرة الإمام أحمد ص قال عبد, قال لا يجيب ولا كراهة يأخذ كفا من تراب يضرب به وجهه سيرة الإمام أحمد ص قال عبد
 قال فأنا ذلك الملك الأخير وإن طالت أيامي مع إحساني السيرة بقي هذا الملك بعدي في, قال فأنا ذلك الملك الأخير وإن طالت أيامي مع إحساني السيرة بقي هذا الملك بعدي في
 قال الذهبي في سيره وقيل لما وقعت فتنة المعتز, قال الذهبي في سيره وقيل لما وقعت فتنة المعتز
 قال بعض الأعلام ولذلك ختم الصلاة بالسلام لأن المصلى إذا رصل الى متهن سيره ومعراج الى جناب الحق لي, قال بعض الأعلام ولذلك ختم الصلاة بالسلام لأن المصلى إذا رصل الى متهن سيره ومعراج الى جناب الحق لي
 يقول إنه حسن السيرة فلا يبعد أن تكون سيرته, يقول إنه حسن السيرة فلا يبعد أن تكون سيرته
 قال كان أبو حمزة الخارجي قد أحسن السيرة في أهل المدينة حتى استمال, قال كان أبو حمزة الخارجي قد أحسن السيرة في أهل المدينة حتى استمال
 قال ابن السمعاني إمام بارع مبرز جامع لأنواع من العلوم الشرعية سديد السيرة مكثر مات يوم عيد الضحى, قال ابن السمعاني إمام بارع مبرز جامع لأنواع من العلوم الشرعية سديد السيرة مكثر مات يوم عيد الضحى
 يذكر سيرة أمه أمام أحد ولا يسمح, يذكر سيرة أمه أمام أحد ولا يسمح
 قال ابن الصلاح أظن أني لم أر في بلاد العجم مثله كان ذا فنون حسن السيرة جميل الأمر وقال أبو عبد, قال ابن الصلاح أظن أني لم أر في بلاد العجم مثله كان ذا فنون حسن السيرة جميل الأمر وقال أبو عبد
 قال ابن المقفع الجامع المصنف لهذه السيرة سويرس ابن المقفع الجامع لما, قال ابن المقفع الجامع المصنف لهذه السيرة سويرس ابن المقفع الجامع لما
 وذكر أنه ظهر سماعه للسيرة ولم يصح سماعه إلا للجزء, وذكر أنه ظهر سماعه للسيرة ولم يصح سماعه إلا للجزء
 قال حدثنا عبد الرزاق قال حدثني أبو بكر بن أبي سيرة عن إبراهيم بن محمد عن, قال حدثنا عبد الرزاق قال حدثني أبو بكر بن أبي سيرة عن إبراهيم بن محمد عن
 وذكر هذين القولين في نسب قريش ابن هشام في السيرة لأن فيها وقال ابن هشام, وذكر هذين القولين في نسب قريش ابن هشام في السيرة لأن فيها وقال ابن هشام
 وقال أبو عمرو هو الذي ب/ يمطل في سيره على طوله والهملع السريع الناجي, وقال أبو عمرو هو الذي ب/ يمطل في سيره على طوله والهملع السريع الناجي
 قال والكرو مثل التوقيف وبعير متلقف يهوي بخفي يديه إلى وحشيه في سيره الجوهري واللقف بالتحريك سقوط الحائط, قال والكرو مثل التوقيف وبعير متلقف يهوي بخفي يديه إلى وحشيه في سيره الجوهري واللقف بالتحريك سقوط الحائط
 قال شبهه بالفرس البربري إذا لج في سيره وقال الليث استخرط الرجل في, قال شبهه بالفرس البربري إذا لج في سيره وقال الليث استخرط الرجل في
 وقال آخر وإلا فسيري مثل ما سار راكب تيمم خمسا ليس في سيره أمم نص النحويون على ذلك, وقال آخر وإلا فسيري مثل ما سار راكب تيمم خمسا ليس في سيره أمم نص النحويون على ذلك
 ذكر ابن قتيبة كذلك أنه دخلها وعليه الخضرة فأحسن السيرة وتفقد أمور الناس وقعد لهم, ذكر ابن قتيبة كذلك أنه دخلها وعليه الخضرة فأحسن السيرة وتفقد أمور الناس وقعد لهم
 قال الأميني لا بد أن يسائل هؤلاء عن أشياء فيقال لهم إن سيرة الشيخين التي بويع عثمان عليها, قال الأميني لا بد أن يسائل هؤلاء عن أشياء فيقال لهم إن سيرة الشيخين التي بويع عثمان عليها
 وقال أيضا في ج ص وقد بنى أحمد آراءه في قتال أهل البغي على سيره الإمام علي كرم الله وجهه, وقال أيضا في ج ص وقد بنى أحمد آراءه في قتال أهل البغي على سيره الإمام علي كرم الله وجهه
 وقال أبو محمد ابن حزم في كتابه جوامع السيرة والعدل وكان كاتب رسول الله, وقال أبو محمد ابن حزم في كتابه جوامع السيرة والعدل وكان كاتب رسول الله
 ويذكر القادة فكان سيد قطب الدين حاضرا وقال إن ياتيمش رجل حسن السيرة فقال الملك تتحدث عن حسن, ويذكر القادة فكان سيد قطب الدين حاضرا وقال إن ياتيمش رجل حسن السيرة فقال الملك تتحدث عن حسن
 ويقول للناس خذوا سيرة خلفائكم وملوككم لم يحك التاريخ, ويقول للناس خذوا سيرة خلفائكم وملوككم لم يحك التاريخ
 قال يبعث الله يوم القيامة عبدين من عباده كانا على سيرة واحدة أحدهما مقتور عليه والآخر, قال يبعث الله يوم القيامة عبدين من عباده كانا على سيرة واحدة أحدهما مقتور عليه والآخر
 وقال عبيدا لله بن محمد القاضي كان الحارث عدلا في قضائه محمود السيرة وقال أبو الطاهر ابن السرح, وقال عبيدا لله بن محمد القاضي كان الحارث عدلا في قضائه محمود السيرة وقال أبو الطاهر ابن السرح
 ذكر في موضعه من سيرة الإمام المؤيد بالله عليه السلام, ذكر في موضعه من سيرة الإمام المؤيد بالله عليه السلام
 قال كان في ربيع الاخر قبل الهجرة بسنة ورجحه بن المنير في شرح السيرة لابن عبد البر وقيل قبل, قال كان في ربيع الاخر قبل الهجرة بسنة ورجحه بن المنير في شرح السيرة لابن عبد البر وقيل قبل
 قال حدثنا سعيد بن زريع قال حدثنا ابن إسحاق فذكر الحديث بعين ما تقدم عن السيرة النبوية إلا أنه ذكر بدل, قال حدثنا سعيد بن زريع قال حدثنا ابن إسحاق فذكر الحديث بعين ما تقدم عن السيرة النبوية إلا أنه ذكر بدل
 قال أن كانت لأحدكم دار يكره سكناها أو امرأة يكره صحبتها أو فرس يكره سيره فليفارقه قال وقيل أن شؤم, قال أن كانت لأحدكم دار يكره سكناها أو امرأة يكره صحبتها أو فرس يكره سيره فليفارقه قال وقيل أن شؤم
 ¬ قال السمعاني كان حسن السيرة جميل الطريقة دمث الأخلاق كثير, ¬ قال السمعاني كان حسن السيرة جميل الطريقة دمث الأخلاق كثير
 يقول وكان حريا بصفوت أن يستجيب للباب الذي فتحه أحمد ويخوض معه في سيرة لنده غير أن هذا لم, يقول وكان حريا بصفوت أن يستجيب للباب الذي فتحه أحمد ويخوض معه في سيرة لنده غير أن هذا لم
 وقال ابن السمعاني إمام بارع مبرز جامع لأنواع الفضل من العلوم الشرعية وكان سديد السيرة مكثرا من الحديث توفي يوم, وقال ابن السمعاني إمام بارع مبرز جامع لأنواع الفضل من العلوم الشرعية وكان سديد السيرة مكثرا من الحديث توفي يوم
 قال صاحب السيرة وكانوا من أهل العلم الواسع, قال صاحب السيرة وكانوا من أهل العلم الواسع
 وقال أبو سعد السمعاني هو إمام بارع مبرز جامع لأنواع الفضل من العلوم وكان سديد السيرة مكثرا من الحديث وقال عبد, وقال أبو سعد السمعاني هو إمام بارع مبرز جامع لأنواع الفضل من العلوم وكان سديد السيرة مكثرا من الحديث وقال عبد
 وذكر ابن إسحاق في السيرة أن النبي صلى الله عليه, وذكر ابن إسحاق في السيرة أن النبي صلى الله عليه
 قال فاني انتخبت انتحيت في هذا الإملاء بعد الاستخارة إلى إيضاح ما وقع في سيرة رسول الله صلى الله تعالى, قال فاني انتخبت انتحيت في هذا الإملاء بعد الاستخارة إلى إيضاح ما وقع في سيرة رسول الله صلى الله تعالى
 قال قال رجل لأبي حنيفة لي ابن ليس بمحمود السيرة أشتري له الجارية بالمال العظيم, قال قال رجل لأبي حنيفة لي ابن ليس بمحمود السيرة أشتري له الجارية بالمال العظيم
 قال في الكواكب هو أحسن قضاة الدولة العثمانية وأعفهم وأصلحهم سيرة ترقى في المدارس على عادة, قال في الكواكب هو أحسن قضاة الدولة العثمانية وأعفهم وأصلحهم سيرة ترقى في المدارس على عادة
 ذكر ما أنكروا من سيرة عثمان بن عفان وأمره رضي, ذكر ما أنكروا من سيرة عثمان بن عفان وأمره رضي
 وقال ان هنا انتهى الكمتاب التسعون من سيرة عنثر بن شداد وسياتي تمام, وقال ان هنا انتهى الكمتاب التسعون من سيرة عنثر بن شداد وسياتي تمام
 قال ابن مقبل وقربوا كل صهميم مناكبه إذا تداءك منه دفعه شنفا أي تدافع في سيره كذا في اللسان وأهمله الجوهري, قال ابن مقبل وقربوا كل صهميم مناكبه إذا تداءك منه دفعه شنفا أي تدافع في سيره كذا في اللسان وأهمله الجوهري
 وقال القاضي أبو عمرو عثمان النابلسي في كتاب حسن السيرة في اتخاذ الحصن بالجزيرة رأيت, وقال القاضي أبو عمرو عثمان النابلسي في كتاب حسن السيرة في اتخاذ الحصن بالجزيرة رأيت
 قال ولأبي الحسن علي بن جابر بن علي الهاشمي قوم لهم سيرة سارت بجهلهم قد ارتدوا برداء, قال ولأبي الحسن علي بن جابر بن علي الهاشمي قوم لهم سيرة سارت بجهلهم قد ارتدوا برداء
 وذكر بعض أهل السيرة أنه لما انصرف عن الموصل, وذكر بعض أهل السيرة أنه لما انصرف عن الموصل
 وذكر سيرة بني أمية وظلمهم وقدم عليه, وذكر سيرة بني أمية وظلمهم وقدم عليه
 ذكر بعض سيرة المهتدي كان المهتدي بالله من, ذكر بعض سيرة المهتدي كان المهتدي بالله من
 وذكر أبو الفتح بنجير بن أبي الحسن بن بنجير الأشترى المعيد كان بالمدرسة النظامية في سيرة مختصرة جمعها لنور الدين وقد, وذكر أبو الفتح بنجير بن أبي الحسن بن بنجير الأشترى المعيد كان بالمدرسة النظامية في سيرة مختصرة جمعها لنور الدين وقد
 قال الجندي فما رأيت ولا سمعت في عصرنا بأخبث منه سيرة في دينه ودنياه ولما كان, قال الجندي فما رأيت ولا سمعت في عصرنا بأخبث منه سيرة في دينه ودنياه ولما كان
 ذكر سيرة السيد الجنرال ك في هذا, ذكر سيرة السيد الجنرال ك في هذا
 قال ابن أبي الحديد في شرح النهج اعلم أن الذي عليه أكثر أرباب السيرة وعلماء الأخبار والنقل ان عثمان, قال ابن أبي الحديد في شرح النهج اعلم أن الذي عليه أكثر أرباب السيرة وعلماء الأخبار والنقل ان عثمان
 قال مبينا لما ذكره عنه قاد مقانب الخيل إلى أرض العدو مجتهدا في سيره مقتحما على تلك البلاد في, قال مبينا لما ذكره عنه قاد مقانب الخيل إلى أرض العدو مجتهدا في سيره مقتحما على تلك البلاد في
 وقال هكذا فاصنعوا بزيد وفي الإصابة ذكر البلاذري ان عثمان كان سيره فيمن سير من أهل الكوفة, وقال هكذا فاصنعوا بزيد وفي الإصابة ذكر البلاذري ان عثمان كان سيره فيمن سير من أهل الكوفة
 قال بلغ معاوية أن يزيد يقول لأن وليت لأنسيتهم سيرة عمر فقال معاوية وتستطيع ذلك, قال بلغ معاوية أن يزيد يقول لأن وليت لأنسيتهم سيرة عمر فقال معاوية وتستطيع ذلك
 وقال الضحاك غضاب يتبرطمون وقال الراغب السامد اللاهي الرافع رأسه من قولهم بعير سامد في سيره وقال الحسن السامد الواقف للصلاة, وقال الضحاك غضاب يتبرطمون وقال الراغب السامد اللاهي الرافع رأسه من قولهم بعير سامد في سيره وقال الحسن السامد الواقف للصلاة
 قال فلا تك مغ ايليس في ينه سيرة وذغ قنده الفقلى نالعقل رادع, قال فلا تك مغ ايليس في ينه سيرة وذغ قنده الفقلى نالعقل رادع
 وقال جامع سيرة الوزير الناصر للدين الحسن بن, وقال جامع سيرة الوزير الناصر للدين الحسن بن
 وذكر السيد يحيى في سيرة الكينعي أن الدعاء مستجاب في, وذكر السيد يحيى في سيرة الكينعي أن الدعاء مستجاب في
 ذكر الحافظ شرف الدين الدمياطي في السيرة النبوية أنه كان راعي لقاح, ذكر الحافظ شرف الدين الدمياطي في السيرة النبوية أنه كان راعي لقاح
 قال ابن السمعاني ابن الشهرزوري شيخ صالح حسن السيرة قيم بكتاب الله عارف باختلاف, قال ابن السمعاني ابن الشهرزوري شيخ صالح حسن السيرة قيم بكتاب الله عارف باختلاف
 قال لقد احتجوا بالشجرة وتركوا الثمرة والذي يظهر من سيرة وكلام الإمام علي أنه يعتبر, قال لقد احتجوا بالشجرة وتركوا الثمرة والذي يظهر من سيرة وكلام الإمام علي أنه يعتبر
 وقال في الذيل الشافي كان المترجم مشكور السيرة لكنه لم يشتهر بشجاعة ولا, وقال في الذيل الشافي كان المترجم مشكور السيرة لكنه لم يشتهر بشجاعة ولا
 وقال شاهنواز خان في مآثر الأمراء إنه كان مشكور السيرة في فصل القضايا والمهمات ومن, وقال شاهنواز خان في مآثر الأمراء إنه كان مشكور السيرة في فصل القضايا والمهمات ومن
 ذكر هؤلاء مفرقا ورد في ثنايا قسم الصحيح السيرة وتأريخ الخلفاء والله أعلم ¬ ضعيف, ذكر هؤلاء مفرقا ورد في ثنايا قسم الصحيح السيرة وتأريخ الخلفاء والله أعلم ¬ ضعيف
 يقول في حال سيره ¬ الرجز المروي عن عمر إليك, يقول في حال سيره ¬ الرجز المروي عن عمر إليك
 قال عبد الكريم في شرحه للسيرة الشريفة عامر بن فهيرة ذكره, قال عبد الكريم في شرحه للسيرة الشريفة عامر بن فهيرة ذكره
 قال مجاهد وغيره فنزلت هذه الآية مسلية ومعلمة أن هذه هي سيرة الله تعالى في عباده اختبارا, قال مجاهد وغيره فنزلت هذه الآية مسلية ومعلمة أن هذه هي سيرة الله تعالى في عباده اختبارا
 وقال الهيثمي رواه الطبراني ورجاله رجال الصحيح مجمع الزوائد / وأما من المعاصرين فقد ضعف محققا سيرة ابن هشام حديث سرية عبد, وقال الهيثمي رواه الطبراني ورجاله رجال الصحيح مجمع الزوائد / وأما من المعاصرين فقد ضعف محققا سيرة ابن هشام حديث سرية عبد
