file,test_sequences,ground_truth
0676Nawawi.TahdhibAsma.Shamela0009702-ara1.completed, قال السمعانى كان فاضلا غزير العلم حسن المعرفة بالمذهب جميل السيرة مرضى الطريقة كثير العبادة دائم الذكر خشن العيش قانعا باليسير, قال السمعانى
0851IbnQadiShuhba.TabaqatShaficiyya.JK000195-ara1.inProgress, قال الذهبي وكان حميد السيرة حسن الديانة كثير العبادة كبير القدر جميل الذكر وقال غيره, قال الذهبي
1450Milani.NafahatAzhar.Shia004456Vols-ara1, وقال شاه ولي الله في إزالة الخفا في سيرة الخلفا في مآثر أمير المؤمنين عليه السلام وعن ابن عباس, وقال شاه ولي الله في إزالة الخفا في سيرة الخلفا
0852IbnHajarCasqalani.FathBari.JK000166-ara1, وقال الدمياطي في السيرة له ماتت خديجه في رمضان وعقد على سودة في شوال, وقال الدمياطي في السيرة
0748Dhahabi.TarikhIslam.Shamela0035100-ara1.mARkdown, قال ابن خلكان كان إذا رأى سنيا استحل دمه وسار وزيره الملك الصالح سيرة مذمومة واحتكر الغلات فغلت الأسعار وقتل أمراء الدولة خيفة منهم, قال ابن خلكان
0885BurhanDinBiqaci.NazmDurar.JK009270-ara1, وقال ابن إسحاق في السيرة حدثني عبد الله ابن عبد الرحمن بن أبي حسين المكي, وقال ابن إسحاق في السيرة
1089IbnCimad.Shadharat.Shamela0012398-ara1.completed, قال الذهبي وكان مشكور السيرة في القضاء لين الجانب حسن المداراة والاحتمال رجع من عند, قال الذهبي
1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari.Sham19Y0145435-ara1, ¬ ذكر الخبر عن بعض سيره أي المنصور ¬ خلافة المهدي وفي هذه السنة بويع للمهدي بالخلافة, ¬ ذكر الخبر عن بعض سيره
1285IbnHasanAlShaykh.MawridCadhbZulal.Shamela0008571-ara1, ذكر شيخنا رحمه الله تعالى في مختصر السيرة له ذكر الواقدي أن خالد بن الوليد لما قدم العارض, ذكر شيخنا رحمه الله تعالى في مختصر السيرة
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.mARkdown, قال المقريزي وكان غير مشكور السيرة ظالما عسوفا مع كبر وجبروت فأراح الله منه وفيها قتل, قال المقريزي
1450CadilNuwayhid.MucjamAclamJazair.Shamela0096603-ara1, قال ابن طولون سار في ذلك سيرة حسنة بحرمة وصرامة وكلمة نافذة وعز ة وعفة ونزاهة مات, قال ابن طولون
0885BurhanDinBiqaci.NazmDurar.JK009270-ara1, قال هشام في تهذيب السيرة قال ابن اسحاق حدثني محمد بن مسلم الوهري عن أبي, قال هشام في تهذيب السيرة
1367AhmadMutac.TarikhYamanIslami.Rafed0002171-ara1.completed, قال في سيرة الأمير ذي الشرفين ما خلاصته انه لما قتل الصليحي في, قال في سيرة الأمير
0966HusaynDiyarbakri.TarikhKhamis.Masaha001961Vols-ara1, وقال الشافعى يزيد فيما حكاه أبو احمد كذا فى سيرة مغلطاى وفيه نور رسول الله صلى الله عليه وسلم وفى, وقال الشافعى
0283AbuIshaqThaqafi.Gharat.Shia001270Vols-ara1, قال ابن أبي الحديد هذه الخطبة ذكرها جماعة من أصحاب السيرة وهي متداولة منقولة مستفيضة خطب بها علي عليه السلام بعد, قال ابن أبي الحديد
1019NurAllahTustari.IhqaqHaqq.Rafed0002654Vols-ara1, قال وذكر هشام في كتاب السيرة الذي أنبأ به القاضي الأسعد أبو البركات عبد القوي بن, قال وذكر هشام في كتاب السيرة
1055AhmadSharafi.AliMudia.Zaydiyya0000037Vols-ara1, قال في سيرة الإسكندر هذا ما لفظه وأما الإسكندر فقيل ابن الصعب وقيل, قال في سيرة الإسكندر
0804IbnMulaqqin.Tawdih.Sham19Y0013252-ara1, قال الأصيلي وهو في سيرة هشام وهو ابن حسان وهو مطعون فيه ثم قال وقال, قال الأصيلي
0736IbnDawadari.KanzDurar.Sham19Y0018147-ara1.mARkdown, قال المنشى فى تاريخهوهو مصنف سيرة السلطان علاء الدين وولده جلال الدين إن الذى ملكه السلطان, قال المنشى فى تاريخهو
1304CabdHayyLaknawi.GhayatMaqal.ShamAY0036022-ara1, وقال الحافظ الزين العراقي في ألفية السيرة يخصف نعله يخيط ثوبه يحلب شاته ولن يعيبه يخدم في, وقال الحافظ الزين العراقي في ألفية السيرة
1450JamicaIslamiyya.MajallaJIMN.Shamela0004473-ara1, وذكر الحافظ ابن كثير في الفصول اختصار سيرة الرسول فقال وقد أفرد العلماء في هذا الفصل مصنفات في, وذكر الحافظ ابن كثير في الفصول اختصار سيرة الرسول
1371MuhsinAminCamili.AcyanShica.Shia003636Vols-ara1.inProgress, ذكر ذلك ابن هشام في سيرته والطبري وابن الأثير وصاحب السيرة الحلبية والمفيد وغيرهم قال ابن هشام لما قتل مصعب بن, ذكر ذلك ابن هشام في سيرته والطبري وابن الأثير وصاحب السيرة الحلبية والمفيد وغيرهم
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1.completed, قال أبو سعد السمعاني كان شيخا صالحا خيرا سديد السيرة مكثرا من الحديث وعمر الطويل وكان يسكن محلة ظفرآباذ في, قال أبو سعد السمعاني
0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown, قال ابن زولاق في كتاب سيرة الإخشيد ولست خلون من شوال سنة ثلاثين وثلثمائة سار الإخشيد, قال ابن زولاق في كتاب سيرة الإخشيد
1371MuhsinAminCamili.AcyanShica.Shia003636Vols-ara1.inProgress, ذكر ابن الأثير وغيره انه سيره المختار فيمن سير لنصرة ابن الحنفية لما حصره ابن الزبير, ذكر ابن الأثير وغيره
0748Dhahabi.ManaqibAbiHanifa.Shamela0010461BK1-ara1.mARkdown, وقال محمد بن حماد بن المبارك المصيصي في سيرة أبي حنيفة قال محمد بن مليح بن وكيع بن الجراح, وقال محمد بن حماد بن المبارك المصيصي في سيرة أبي حنيفة
0676Nawawi.TahdhibAsma.Shamela0009702-ara1.completed, قال ابن هشام في سيرة النبي صلى الله عليه وسلم سار عمرو بن العاصي رضي, قال ابن هشام في سيرة النبي صلى الله عليه وسلم
0852IbnHajarCasqalani.FathBari.JK000166-ara1, قال بن هشام في السيرة أشار عروة بهذا إلى ما وقع للمغيرة قبل إسلامه وذلك, قال بن هشام في السيرة
0843IbnKhatibNasiriyya.DurrMuntakhab.MMS00008-ara1.completed, وقال بعضهم عن هذا كان عفيفا حسن السيرة كريم النفس كثير الاحتمال مولده بدمشق في سنة اثنتين وستمائة, وقال بعضهم
1450MajalisAlMuhammad.MaqalatIslamiyya.Zaydiyya0000474-ara1, قال ابن الأثير وكان الحسن بن علي حسن السيرة عادلا ولم ير الناس مثله في عدله وحسن سرته وإقامته, قال ابن الأثير
1093CabdQadirBaghdadi.KhizanatAdab.JK007143-ara1, قال ابن هشام في السيرة قال ابن إسحاق ولد إلياس بن مضر ثلاثة نفر مدركة, قال ابن هشام في السيرة
1055AhmadSharafi.DawlatBaniRasul.Zaydiyya0000298-ara1, قال مصنف سيرة الناصر وقد نقلت منها بألفاظها هذه النبذة قال ودخل الأمير, قال مصنف سيرة الناصر
0807IbnFurat.TarikhDuwal.Kraken210719221518-ara1, وقال صاحبكتاب نزهة المقلتين في سيرة الدولتين م كان الامير ياخسعاقلا وله هيبة وكان يتماسك في, وقال صاحبكتاب نزهة المقلتين في سيرة الدولتين
1304CabdHayyLaknawi.ImamAbuHanifa.ShamAY0035781-ara1, قال حاجي خليفة عنه من أحسن كتب المتأخرين وأبسطها في السيرة منتخب من أكثر من ثلاثمئة كتاب وأتى من الفوائد بالعجب, قال حاجي خليفة
0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown, قال جامع السيرة الطولونية وركب أحمد بن طولون في غداة باردة إلى المقس, قال جامع السيرة الطولونية
0395IbnFarisQazwini.MucjamMaqayis.JK008008-ara1, وقال أبو عبيدة يقال فرس عاسل إذا اضطربت معرفته في سيره وخفق رأسه واطرد متنه هذا هو الصحيح غير المشكوك فيه, وقال أبو عبيدة
0845Maqrizi.ImtacAsmac.Shamela0001524-ara1, وقال ابن عبد البر وذكر أهل السيرة أن حنظلة الغسيل كان قد ألم بأهله في حين خروجه, وقال ابن عبد البر
1365AhmadCisa.TarikhBimaristanatFiIslam.Hindawi018197281-ara1, وقال ابن إسحاق في السيرة كان رسول الله صلى الله عليه وسلم قد جعل سعد, وقال ابن إسحاق في السيرة
0748Dhahabi.TarikhIslam.Shamela0035100-ara1.mARkdown, وقال الليث بن سعد إنه كان محمود السيرة وإنه غزا إفريقية وقتل جرير صاحبها وغزا ذات الصواري فالتقى, وقال الليث بن سعد
0748Dhahabi.SiyarAclamNubala.Shamela0010906-ara1.mARkdown, قال السمعاني في الذيل كان مقرئا فاضلا كثير التصانيف حسن السيرة زاهدا متعبدا خشن العيش منفردا قانعا يقرئ ويسمع في أكثر, قال السمعاني في الذيل
1067HajjiKhalifa.KashfZunun.JK000468-ara1, ذكر فيه سيرة جنكيز وهلاكو مشتملا على دولة مغول وسلاطينها وملوك الأطراف في, ذكر فيه سيرة جنكيز
1371MuhsinAminCamili.AcyanShica.Shia003636Vols-ara1.inProgress, وقال ابن الأثير أنه قال السلام على همدان ثلاثا وفي السيرة الحلبية كان رسول الله ص ارسل خالد بن الوليد إلى, وقال ابن الأثير
0842IbnNasirDinDimashqi.JamicAthar.ShamAY0034447-ara1, وقال الحافظ أبو الفداء إسماعيل بن عمر بن كثير رحمه الله وإيانا في السيرة التي جمعها حين ذكر حديث عبد الرحمن بن غزوان هذا, وقال الحافظ أبو الفداء إسماعيل بن عمر بن كثير رحمه الله وإيانا في السيرة التي جمعها
1368ShakibArslan.HulalSundusiyya.Hindawi020790318Vols-ara1, قال ابن الأبار وسمع من أبي الحسن طارق بن يعيش كتاب السيرة لابن إسحاق ولكن لم يجز له وأخذ عن أبي بكر, قال ابن الأبار
0699IbnCabdMalikMurjani.BahjatNufus.Masaha003955Vols-ara1, وذكر ابن إسحاق في غير رواية ابن هشام في السيرة أن إسم أحدهما نقيامين ويروى أن سليمان عليه السلام لما, وذكر ابن إسحاق في غير رواية ابن هشام في السيرة
0774IbnKathir.TafsirQuran.Shamela0008473-ara1.mARkdown, قال محمد بن إسحاق بن يسار في السيرة حدثني يعقوب بن عتبة بن المغيرة بن الأخنس أن معاوية, قال محمد بن إسحاق بن يسار في السيرة
1394MuhammadAbuZahra.KhatimNabiyyin.Sham19Y0009800-ara1, ذكر علماء السيرة والمؤرخون أن كسرى قاد الفرس إلى قتال الروم فانتصروا عليهم, ذكر علماء السيرة والمؤرخون
0804IbnMulaqqin.CiqdMudhhab.Sham19Y0016664-ara1.completed, قال السمعانى كان فقيها فاضلا دينا حسن السيرة قدم بغداد وتفقه بها على الشيخ أبى إسحاق وسمع ببغداد, قال السمعانى
1450AhmadFarid.MinAclamSalaf.Sham19Y0037370-ara1, قال الخطيب روى عنه أيوب السختياني والأعمش ومحمد بن إسحاق صاحب السيرة وإبراهيم بن سعد وسفيان الثوري وشريك بن عبد الله وسفيان, قال الخطيب
0852IbnHajarCasqalani.IsabaFiTamyiz.JK000533-ara1.mARkdown, وقال العجلي كان أعلم قريش بأنسابها وقال بن إسحاق في السيرة الكبرى كان أبو بكر رجلا مؤلفا لقومه محببا سهلا وكان, وقال العجلي
0774IbnKathir.TabaqatFuqahaShaficiyyin.Shamela0012860-ara1.mARkdown, وقال الإمام أبو سعد السمعاني تفرد الإمام أبو إسحاق الشيرازي بالعلم الوافر كالبحر الزاخر مع السيرة الجميلة والطريقة المرضية جاءته الدنيا صاغرة فأباها واطرحها وقلاها قال, وقال الإمام أبو سعد السمعاني
0748Dhahabi.TarikhIslam.Shamela0035100-ara1.mARkdown, وقال شيخنا الدمياطي في السيرة له كان سيما الملائكة يوم حنين عمائم حمرا قد أرخوها, وقال شيخنا الدمياطي في السيرة
0774IbnKathir.TabaqatFuqahaShaficiyyin.Shamela0012860-ara1.mARkdown, وقال ابن السمعاني وكان جميل السيرة مرضي الطريقة وكان ببغداد فقيه آخر يقال له محمد بن, وقال ابن السمعاني
0879IbnQutlubugha.Thiqat.Shamela0096165-ara1.mARkdown, قال ابن السمعاني شيخ صالح دين خير حسن السيرة صدوق ثقة قرأت جامع الترمذي عليه وقرئ عليه عدة مرات, قال ابن السمعاني
0851IbnQadiShuhba.TabaqatShaficiyya.JK000195-ara1.inProgress, قال السيد عز الدين وكان حسن السيرة محمود الطريقة توفي في جمادى الآخرة سنة أربع وأربعين وستمائة, قال السيد عز الدين
1396KhayrDinZirikli.Aclam.Shamela0012286-ara1.mARkdown, ذكر نسخة من سيرة الإمام شرف الدين خ واستوفى الشرواني في المناقب الحيدرية نسبه, ذكر نسخة من سيرة الإمام شرف الدين
1349IbnSahmanKhathcami.IqamatHujja.Shamela0007516-ara1, ذكر محمد بن إسحاق في كتاب السيرة أن إسافا ونائلة كانا بشرين فزينا داخل الكعبة فمسخا حجرين, ذكر محمد بن إسحاق في كتاب السيرة
1019NurAllahTustari.IhqaqHaqq.Rafed0002654Vols-ara1, وقال الفاضل المعاصر جميل إبراهيم حبيب البغدادي في سيرة الزبير بن العوام ص ط الدار العربية للموسوعات قال عبد, وقال الفاضل المعاصر جميل إبراهيم حبيب البغدادي في سيرة الزبير بن العوام
1093CabdQadirBaghdadi.KhizanatAdab.JK007143-ara1, قال ابن هشام في السيرة ويقال إن النبي صلى الله عليه وسلم قال له بعد, قال ابن هشام في السيرة
0748Dhahabi.TarikhIslam.Shamela0035100-ara1.mARkdown, وقال ابن السمعاني كان شيخا صالحا عفيفا سديد السيرة ولد قبل التسعين وثلاثمائة روى عنه جدي أبو المظفر في, وقال ابن السمعاني
0321Tahawi.AhkamQuran.Shamela0010765-ara1, قال في كتاب سيره الكبير في رجل أوصى بثلث ماله في سبيل الله إن, قال في كتاب سيره الكبير في رجل
1424MuhammadCaliAbtahi.TahdhibMaqal.Shia003026VolsBK2-ara1, قال ابن كثير في السيرة عند ذكره وكان كاتبا وقد كتب بين يدي علي بن, قال ابن كثير في السيرة
1411SayyidMarcashi.SharhIhqaq.Shia004092Vols-ara1, قال ذكر عبد الملك بن هاشم في كتاب السيرة الذي أخبرنا القاضي الأسعد أبو البركات عبد القوي ابن أبي, قال ذكر عبد الملك بن هاشم في كتاب السيرة
0852IbnHajarCasqalani.FathBari.JK000166-ara1, قال بن إسحاق في أول السيرة النبوية لما ساق النسب الكريم فلما بلغ إلى نوح قال, قال بن إسحاق في أول السيرة النبوية
1127IsmacilHaqqiBurusawi.RuhBayan.ShamAY0034059-ara1, قال في السيرة الحلبية أسرى بدر منهم من فدي ومنهم من خلي سبيله, قال في السيرة الحلبية أسرى بدر منهم من فدي ومنهم من خلي سبيله
0470MuayyadFiDinShirazi.Sira.Kraken210615213257-ara1, ذكر فى السيرة بعد ذلك قتل الفلاحى فى النحرم ستة ه ابن منجب, ذكر فى السيرة
0855BadrDinCayni.BinayaSharhHidaya.Shamela0000427BK2-ara1, وقال الجوهري السنة السيرة قال الهذلي يخاطب أبا ذؤيب فلا تجزعن من سنة أنت, وقال الجوهري
0966HusaynDiyarbakri.TarikhKhamis.Masaha001961Vols-ara1, قال أبو نعيم الاصفهانى انه قد اختلف فى اسلامها وفى سيرة مغلطاى قال أبو نعيم لا أعلم أحدا أثبت اسلامها غير, قال أبو نعيم الاصفهانى
0893CamiriHaradi.BahjatMahafil.Masaha001946Vols-ara1, وقال ابن حبان مات في خلاف على رضي الله عنهم قوله وفي سيرة ابن هشام قلت وكذلك حكاه الواقدى ونقله عنه ابن حجر, وقال ابن حبان
