file,search_result
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, قال لما غير خداش سيرة الإمام ونكب عن الحق قيل خدش خداش الدين فقال ابو
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, قال ذات يوم من ولي خراسان فأصلح ثغورها وأحسن السيرة في أهلها ورزق جنودها وكان في بيت ماله بعد ذلك
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, قال قدم معاوية المدينة فخطبهم فقال إني رمت سيرة أبي بكر وعمر فلم أطقها فسلكت طريقة لكم فيها حظ
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, قال ولى ابن الزبير المدينة رجلا يكنى أبا قيس أو ولاه بعض أعمالها فأساء السيرة فقال الناس قد كان ليزيد بن معاوية أبو قيس لا
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, يقول ونعم علي عهد الله وميثاقه وأشد ما أخذ على أنبيائه أن لا أخالف سيرة رسول الله وأبي بكر وعمر في شيء ولا أقصر عنها
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, ذكر ما أنكروا من سيرة عثمان بن عفان وأمره رضي الله عنه حدثني محمد بن
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, قال خطب عامر بن مسعود فقال يا أهل الكوفة لأنسينكم سيرة عمر بن الخطاب قال وقال يوما يا أهل الكوفة إني
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, يقول لما يعطاه يكفيني قالوا وولى عامر عمالا فأساءوا السيرة ومالوا إلى الخيانة فقال ابن همام في ذلك يا بن
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, وقال له حين ولاه عليك بحسن السيرة والشدة على أهل الريبة قالوا وبعث ابن مطيع إياسا إلى
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, قال لما ولي محمد بن يوسف اليمن أساء السيرة وظلم الرعية وضرب على أهل اليمن خراجا جعله وظيفة عليهم
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, وقال له أن أهل العراق يحبونك فأحسن السيرة فيهم فلما قدمها قال لمنصور بن جمهور أنت أحد أخوالي
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, قال فركب الزبير فأصابه أخو بني تميم بوادي السباع وقال أصحاب السيرة لما كان يوم الجمل وهو يوم الخميس لعشر ليالي خلون
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, وقال أبو اليقظان كتب عثمان إلى ابن عامر أن سيره إلى الشام فسيره فمات بالشام ولا عقب له حدثنا أحمد
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1.mARkdown, قال لما قدم الحجاج العراق سأل عن سيرة زياد فاجتنب محاسنها وأخذ بمساوئها حدثني محمد بن أبان الواسطي
0279Baladhuri.FutuhBuldan.Shamela0012221-ara1.mARkdown, قال لما ولي محمد بن يوسف أخو الحجاج بن يوسف اليمن أساء السيرة وظلم الرعية وأخذ أراضي الناس بغير حقها فكان مما اغتصبه
0279Tirmidhi.MukhtasarShamailMuhammadiyya.Shamela0000700-ara1, قال الحسين سألت أبي عن سيرة النبي صلى الله عليه وسلم في جلسائه فقال كان رسول
0279Tirmidhi.ShamailMuhammadiyya.JK000139-ara1, قال قال الحسين بن علي سألت أبي عن سيرة رسول الله صلى الله عليه وسلم فيجلسائه فقال كان رسول
0280IbnTayfur.Baghdad.Shamela0005880-ara1.mARkdown, قال يا أمير المؤمنين بركة الدابة طول صحبتها وقلة علفها قال فكيف سيره قال سيره أمامه وسوطه عنانه وما ضرب قط إلا ظلما حدثني الفضل
0280IbnTayfur.Baghdad.Shamela0005880-ara1.mARkdown, يقول لقد احتال الفضل وملح طاهر سيرة المأمون ببغداد وطرائف من أخباره وأخبار أصحابه وقواده وكتابه وحجابه
0280IbnTayfur.Baghdad.Shamela0005880-ara1.mARkdown, يقول من كان جاره نبطيا واحتاج إلى ثمنه فليبعه فإن كنت إنما طلبت سيرة عمر فهذا حكمه في أهل فامية ثم أمر له بألف
0280IbnTayfur.BallaghatNisa.JK010566-ara1, قال الفراء خرج فلان ينتقث إذا أسرع في سيره أم أبي زرع وما أم أبي زرع عكومها رداح وبيتها
0280IbnTayfur.BallaghatNisa.JK010566-ara1, قال حدثنا سعد بن هريم قال أنشدني نصير بن مزروغ لسيرة بنت الحارث النميرية تقوله يوم مرح راهط قريش هم الثأر
0281IbnAbiDunya.Hilm.JK000049-ara1.completed, قال لأردشير فضيلة السبق غير أن عندنا سيرة أنو شيروان قيل فأي أخلاقه كان أغلب عليه قال الحلم
0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1.mARkdown, قال سبحان الله سبحان الله والله يا بني لقد جهدت على سيرة عثمان فما أطقتها حدثنا أبو كريب قال حدثنا طلق بن
0283AbuIshaqThaqafi.Gharat.Shia001270Vols-ara1, قال ابن أبي الحديد هذه الخطبة ذكرها جماعة من أصحاب السيرة وهي متداولة منقولة مستفيضة خطب بها علي عليه السلام بعد
0283AbuIshaqThaqafi.Gharat.Shia001270Vols-ara1, قال وقال ابن هشام في السيرة عند ذكره أمر الحديبية ج من طبعة مصر سنة ه
0284Bandaniji.Taqfiya.Sham19Y0014041-ara1, قال المليح الهذلي وأرهقهن منها سيرة تكظأ تكاد منها ذراع العنس تنقصد والمشظ شوك الجذع الواحد
0285IbnYazidMubarrad.KamilFiLugha.Shamela0008505-ara1.mARkdown, وقال الفرزدق لخالد بن عبد الله القسري لعمري لقد سار ابن شبية سيرة أرتك نجوم الليل مظهرة تجري ويجوز أن يكون نجوم الليل
0285IbrahimHarbi.GharibHadith.JK000758-ara1, وقال آخر قضى نحبه في ملتقى الخيل هوبر يريد نفسه ويقال نحب فى سيره يومه أجمع وليلته / فلم ينزل قال وإنى والهجاء لآل لأم
0285IbrahimHarbi.GharibHadith.JK000758-ara1, ذكر علاقة السوط أخبرنى أبونصر عن الأصمعى علاقة السوط مكسورة العين يعنى سيره وقال أبو عبيدة علق القربة السير الذى تعلق به وسمعت
0287IbnAbiCasim.AhadWaMathani.JK000481-ara1.mARkdown, قال بلغ معاوية أن يزيد يقول لئن وليت من أمر الناس شيئا لأسيرن بهم سيرة عمر بن الخطاب رضي الله عنه فقال معاوية ويستطيع ذلك
0288ThabitIbnQurra.RawabicLiAflatun.GRAR000075-ara1, قال أحمد إن أول ما أتكلم به المشورة على طالبى الحكمة المخالفين لسيرة البهائم أن لا يقبلوا من أحد يدعى علم هذه الصناعة
0288Ushnandani.MacaniShicr.Kraken220410202737-ara1, قال ابن دريد وأنشدني أبوعثمان ااق أسارت الاكا اا فنشا آن ترى غلما فوى سيرة ن اا طفلا بعدما هرمارم هذا رجل كان في مفازة
0291IbnYahyaThaclab.MajalisThaclab.JK010605-ara1, قال سمعت أبي يذكر أن عبد الملك بن مروان أشرف على أصحابه وهم يذكرون سيرة عمر فغاظه ذلك فقال إيها عن ذكر عمر فإنه إزراء
0292Yacqubi.Tarikh.JK001493-ara1.mARkdown, يقول خذها أبا إسحاق مليتها في سيرة ترضى وعمر طويل وظهر إبراهيم ظهورا شديدا حتى هزم العسكر
0292Yacqubi.Tarikh.JK001493-ara1.mARkdown, وذكر في الكتب خلع المعتز نفسه وسماه خالع نفسه وظهرت من المهتدي سيرة حسنة ومذاهب محمودة وجلس للمظالم بنفسه وباشر الأمور بجسمه ووقع
0298HadiIlaHaqqYahya.JawabMasailTabari.Zaydiyya0000076BK27-ara1.completed, قال يحيى بن الحسين ابن رسول الله صلى الله عليه وآله وسلم ما التبس من سيرة الإمام صلوات الله عليه ذكرت حاطك الله وحفظك ووفقك للصواب
0300IbnSulaymanKufi.ManaqibImam.Masaha003296Vols-ara1, قال به صدق ومن حكم به عدل ومن/ / أ/ عمل به آجر قبسات من سيرة أمير المؤمنين عليه السلام النيرة في حنانه على المسلمين وقيامه
0301AbuBakrFaryabi.Qadar.JK001214-ara1, قال عمر بن عبد العزيز أما إن تلك سيرة الحق فيهم قرأت على أبي مصعب الزهري وكتبت من كتابه
0302QasimCawfi.DalailFiGharibHadith.Shamela0009654-ara1, قال الشاعر هو النابغة الذبياني وتحتي مثل الفحل وجناء ذعلب ويقال اذلعب الجمل في سيره اذلعبابا إذا وصف بالنجاء والسرعة قال الراجز ناج أمام الركب
0307AbuYaclaMawsili.Musnad.JK000485-ara1, وقال علي لا أغزوا العام ورجع إلى الكوفة وقتل رحمه الله واستخلف حسن وسار سيرة أبيه ثم بعث بالبيعة إلى معاوية حدثنا إسحاق بن أبي
0310Tabari.JamicBayan.Shamela0007798-ara1.inProgress, قال ومثله في الكلام إذا نظرت في سيرة عمر لم تجده يسيء المعنى لم تجده أساء فلما كان
0310Tabari.JamicBayan.Shamela0007798-ara1.inProgress, قال تلك سيرة الجبابرة أن تقتل النفس بغير النفس وقوله {وما تريد أن
